Dataset,Miss_Rate,baseline_Mean,baseline_Std,baseline_N,pyramidal_latent_Mean,pyramidal_latent_Std,pyramidal_latent_N,pyramidal_latent_Imp_Abs,pyramidal_latent_Imp_Pct,tvf_lstm_latent_Mean,tvf_lstm_latent_Std,tvf_lstm_latent_N,tvf_lstm_latent_Imp_Abs,tvf_lstm_latent_Imp_Pct,tvf_transformer_latent_Mean,tvf_transformer_latent_Std,tvf_transformer_latent_N,tvf_transformer_latent_Imp_Abs,tvf_transformer_latent_Imp_Pct,channel_latent_Mean,channel_latent_Std,channel_latent_N,channel_latent_Imp_Abs,channel_latent_Imp_Pct
Wafer,0.0,89.21155333518982,0.0,4,91.19619448979695,2.8067064372892117,3,1.9846411546071323,2.2246458899222903,98.72485438982646,0.3810031660629838,3,9.513301054636642,10.663754523915554,93.42418432235718,2.985137421862356,3,4.212630987167358,4.722068868523636,97.06683993339539,1.4863688123222083,4,7.855286598205566,8.805234641180741
Wafer,0.3,90.46966254711151,2.672229152132984,4,92.6530388991038,2.9450917921853415,3,2.183376351992294,2.4133795689304294,98.32792639732361,0.4811159709500326,3,7.858263850212097,8.686076225961333,93.97793730099995,3.6164553413387384,3,3.5082747538884433,3.877846622962179,97.34020084142685,1.294289489152376,4,6.870538294315338,7.594300786451534
Wafer,0.6,89.68851387500763,2.4501993986550783,4,91.55310392379761,6.00951150314143,3,1.864590048789978,2.078961918566877,98.22842319806416,0.11665733119918585,3,8.539909323056534,9.521742477479318,88.53450258572896,0.2106161789800511,3,-1.154011289278671,-1.2866879374174185,93.71836513280869,2.9905851317152297,4,4.029851257801056,4.493163152883954
Wafer,0.9,81.60853385925293,1.9863726787958893,4,91.53147459030151,0.26606082916259766,2,9.922940731048584,12.159194954001128,89.9069877465566,0.44232380589778714,3,8.298453887303666,10.1686104318645,76.1842970053355,9.563201190593634,3,-5.424236853917435,-6.646653967920078,88.1026941537857,0.8417425875442143,4,6.494160294532776,7.957697543902703
ItalyPowerDemand,0.0,95.88921219110489,0.42148173416997914,4,95.8276629447937,0.6983270443406971,3,-0.061549246311187744,-0.06418787359366514,94.14965947469075,0.5615275611874744,3,-1.7395527164141384,-1.814127654889115,95.40006518363953,0.4320913591198144,3,-0.48914700746536255,-0.5101168278351316,95.36443173885345,0.9558953622800062,4,-0.5247804522514343,-0.5472778848214537
ItalyPowerDemand,0.3,83.01263362169266,2.5603660346337986,4,83.64755392074585,1.1188246848978893,3,0.6349202990531921,0.7648477964771815,84.82669194539388,1.7371597979737334,3,1.814058323701218,2.185279811707085,85.92808524767558,0.8937905806860172,3,2.915451625982925,3.5120577420411663,85.79688966274261,1.1960367389665758,4,2.7842560410499573,3.3540148283193156
ItalyPowerDemand,0.6,66.3848403096199,1.113949788447395,4,70.74181993802388,4.32845600573176,3,4.356979628403977,6.563214746142278,69.33592478434245,2.0288627094271083,3,2.951084474722549,4.4454192568041835,71.603498061498,0.5159480451744762,3,5.218657751878098,7.861219108968552,71.20505392551422,2.18542252132602,4,4.820213615894318,7.26101560749829
ItalyPowerDemand,0.9,50.94266325235367,2.253904109748342,4,51.02688650290171,2.006455768007454,3,0.08422325054804247,0.16532950020855292,50.3206996122996,0.9463457971127401,3,-0.6219636400540693,-1.2209091561881253,53.51473848025004,3.4523217286704524,3,2.57207522789637,5.048961054813981,52.92516991496086,3.658604668101494,4,1.982506662607193,3.8916431455232106
ProximalPhalanxOutlineAgeGroup,0.0,84.82926845550537,1.1635960804570797,4,86.63414676984151,0.15931674076884808,3,1.8048783143361362,2.127659883431425,64.74525819222133,29.99240321495129,3,-20.084010263284043,-23.675802737611136,85.88617881139119,0.3679256907186807,3,1.0569103558858188,1.2459265240984474,85.58536648750305,0.5868884971383571,4,0.7560980319976807,0.8913174023117612
ProximalPhalanxOutlineAgeGroup,0.3,81.34146362543106,2.997819153039483,4,80.91056982676189,2.1155717382059485,3,-0.43089379866917454,-0.5297345037377191,81.69105728467305,1.4077967229575676,3,0.3495936592419895,0.429785307099749,82.40650375684102,1.0273541832079984,3,1.0650401314099582,1.3093446858964288,83.2682928442955,1.693322580011399,4,1.926829218864441,2.3688155252987433
