Dataset,baseline_mean,baseline_std,pyramidal_latent_mean,pyramidal_latent_std,tvf_lstm_latent_mean,tvf_lstm_latent_std,tvf_transformer_latent_mean,tvf_transformer_latent_std,channel_latent_mean,channel_latent_std
FingerMovements,51.899999429782234,3.4554306919398714,51.59999897082647,2.8047575606273654,52.666664123535156,1.8856162848985902,48.13333213329315,5.648206272015039,49.05000016093254,4.550549473766448
NATOPS,80.11111189921697,2.6451685794325464,41.9999997317791,18.553115463503733,64.8888885974884,9.42939995733238,70.03703792889912,1.2872709091794174,72.30555593967438,8.778261480747705
ArticularyWordRecognition,52.05555493632952,6.671377778227062,45.35555611054102,2.441513718723832,46.77777886390686,3.8088906546660892,51.13333225250244,0.0,49.316667318344116,4.352872662739788
BasicMotions,65.97916632890701,9.242653802418035,63.875001668930054,3.6293073007567456,65.00000059604645,2.5000005960464478,64.83333309491475,12.51887478799315,61.000001430511475,1.224743703383861
RacketSports,63.28399106860161,5.584421686491401,34.56140339374542,5.282129632599022,47.763157884279885,2.7994682832617523,48.81579041481018,3.3769078733522506,52.36842021346092,3.720452030896418
Epilepsy,42.17391289770603,4.07132042991734,43.623188535372414,2.1593721011681315,43.42995226383209,4.240764609511851,43.42995285987854,0.9191447903987471,47.89855122566223,2.2463762760162354
AtrialFibrillation,29.66666756818692,10.854253506028344,24.44444517294566,9.87827147726988,,,31.555557250976562,3.4995593007142376,31.33333407342434,6.96020453100396
SelfRegulationSCP2,48.29629632333914,3.624004007437452,49.518518249193825,2.0006859431968227,49.703703920046486,3.328802410553389,46.81481599807739,1.4971390234463189,46.74999952316284,4.308601146603029
Libras,22.527778080354135,5.014715997368608,11.888889173666636,0.9558140983267368,18.925926287968952,3.4975984190314793,17.88888931274414,1.046255262958733,18.722222596406937,1.4065542385152918
ERing,55.86728403965632,7.702337143485461,50.14814833799998,3.449020807858649,53.82715861002604,4.529366038598431,55.8271598815918,6.494435990822955,55.83333373069763,3.9141601230891854
UWaveGestureLibrary,31.999999955296516,3.715159346092278,33.729166785875954,2.4288487378464847,33.58750021457672,1.6396456031252593,33.500000635782875,0.9855730572142195,36.34374991059303,1.894430469998246
