Dataset,Miss_Rate,baseline_Mean,baseline_Std,baseline_N,pyramidal_latent_Mean,pyramidal_latent_Std,pyramidal_latent_N,pyramidal_latent_Imp_Abs,pyramidal_latent_Imp_Pct,tvf_lstm_latent_Mean,tvf_lstm_latent_Std,tvf_lstm_latent_N,tvf_lstm_latent_Imp_Abs,tvf_lstm_latent_Imp_Pct,tvf_transformer_latent_Mean,tvf_transformer_latent_Std,tvf_transformer_latent_N,tvf_transformer_latent_Imp_Abs,tvf_transformer_latent_Imp_Pct,channel_latent_Mean,channel_latent_Std,channel_latent_N,channel_latent_Imp_Abs,channel_latent_Imp_Pct
FingerMovements,0.0,52.8410251171161,2.644075896224166,39,52.06666608651479,3.928810739156188,6,-0.7743590306013033,-1.465450431525552,55.75999891757965,4.7199998902062825,5,2.9189738004635544,5.524067320787177,53.199999729792275,2.6981477376795757,3,0.35897461267617814,0.6793483129453903,50.56000006198883,2.9021376208952754,5,-2.281025055127266,-4.316769120340937
FingerMovements,0.3,51.899999429782234,3.4554306919398714,24,51.59999897082647,2.8047575606273654,6,-0.30000045895576477,-0.5780355727395498,52.666664123535156,1.8856162848985902,3,0.7666646937529222,1.4771959579502043,48.13333213329315,5.648206272015039,3,-3.766667296489082,-7.257547857173235,49.05000016093254,4.550549473766448,4,-2.849999268849693,-5.491328131333761
FingerMovements,0.6,48.79166645308336,3.227217065790085,24,48.66666545470556,3.4960290487261667,6,-0.1250009983778,-0.2561933368231997,48.33333293596903,3.0912060023394585,3,-0.4583335171143261,-0.9393684422626685,49.66666499773661,4.189933721230362,3,0.874998544653252,1.793336051546067,48.59999895095825,6.2593924763551225,4,-0.19166750212510664,-0.3928283579110963
FingerMovements,0.9,52.69166608651479,3.0664740457677504,24,56.833332777023315,1.5723286891851829,6,4.141666690508522,7.860193078177283,55.999998251597084,2.1602475984562757,3,3.308332165082291,6.278663042558416,53.666665156682335,3.0912060023394585,3,0.9749990701675415,1.850385730006495,58.49999934434891,2.692582326089205,4,5.808333257834114,11.02324843609495
NATOPS,0.0,91.14074039459229,3.8897280747409853,15,83.81481568018596,1.5748365284288395,6,-7.325924714406327,-8.038035112167028,86.92592779795329,2.0574731200598313,3,-4.214812596638993,-4.624509937478051,86.07407569885254,3.824690063689566,3,-5.066664695739746,-5.559165608929341,87.55555540323257,3.0194844823864524,4,-3.5851849913597107,-3.933679906305033
NATOPS,0.3,80.11111189921697,2.6451685794325464,24,41.9999997317791,18.553115463503733,6,-38.11111216743787,-47.57281638455249,64.8888885974884,9.42939995733238,3,-15.222223301728562,-19.0013881231342,70.03703792889912,1.2872709091794174,3,-10.07407397031784,-12.575126885008705,72.30555593967438,8.778261480747705,4,-7.805555959542588,-9.743412336308968
NATOPS,0.6,58.819445023934044,10.715926558512443,24,16.537037417292595,2.2318465502250047,6,-42.28240760664145,-71.88508424286636,17.777778208255768,1.3608275537678955,3,-41.041666815678276,-69.77567843249479,18.51851890484492,3.020278788551436,3,-40.30092611908913,-68.51633180607263,19.027778133749962,0.8216776986769142,4,-39.79166689018408,-67.65053100040738
NATOPS,0.9,21.217592880129814,4.4965096070206325,24,17.314815272887547,2.513679842857854,6,-3.9027776072422675,-18.394063969891715,16.85185233751933,1.717336656063883,3,-4.365740542610485,-20.576040681311135,16.444444954395294,1.5099122885680984,3,-4.77314792573452,-22.496180187360242,17.36111156642437,0.605402594962507,4,-3.8564813137054443,-18.175866298749767
ArticularyWordRecognition,0.0,68.94222211837769,5.848044056478044,15,65.47777911027272,0.8729829053141653,6,-3.464443008104965,-5.025139749856511,67.28889028231303,1.9507498149386513,3,-1.6533318360646518,-2.398141204711661,67.95555591583252,2.4743605700953015,3,-0.986666202545166,-1.4311494063115697,67.00000017881393,2.9055496273405854,4,-1.9422219395637512,-2.817173395178424
ArticularyWordRecognition,0.3,52.05555493632952,6.671377778227062,24,45.35555611054102,2.441513718723832,6,-6.699998825788498,-12.870862358461913,46.77777886390686,3.8088906546660892,3,-5.277776072422661,-10.138737506262384,51.13333225250244,0.0,1,-0.92222268382708,-1.7716124339757284,49.316667318344116,4.352872662739788,4,-2.738887617985405,-5.261470406636541
