Dataset,baseline_mean,baseline_std,pyramidal_latent_mean,pyramidal_latent_std,tvf_lstm_latent_mean,tvf_lstm_latent_std,tvf_transformer_latent_mean,tvf_transformer_latent_std,channel_latent_mean,channel_latent_std
Wafer,89.21155333518982,0.0,91.19619448979695,2.8067064372892117,98.72485438982646,0.3810031660629838,93.42418432235718,2.985137421862356,97.06683993339539,1.4863688123222083
ItalyPowerDemand,95.88921219110489,0.42148173416997914,95.8276629447937,0.6983270443406971,94.14965947469075,0.5615275611874744,95.40006518363953,0.4320913591198144,95.36443173885345,0.9558953622800062
ProximalPhalanxOutlineAgeGroup,84.82926845550537,1.1635960804570797,86.63414676984151,0.15931674076884808,64.74525819222133,29.99240321495129,85.88617881139119,0.3679256907186807,85.58536648750305,0.5868884971383571
SyntheticControl,99.08333420753479,0.43301228893912685,98.33333492279053,0.47140407122464756,97.77777989705403,0.15713469040821587,98.20000171661377,0.48381156209150455,98.03333461284637,0.7340903594031105
ProximalPhalanxTW,78.12195122241974,0.7047892304189677,77.65853683153789,0.1379724852466761,76.74796621004741,0.321935009483805,77.33333309491475,0.7401498805873634,77.41463363170624,0.7317082484571759
SmoothSubspace,49.49666613340378,48.51249512511957,97.33333587646484,0.9428081424492951,98.4000015258789,0.37712325697971805,64.77333545684814,45.133537623849875,97.6666659116745,1.3743701224227192
MoteStrain,75.78674107789993,0.21914012174593714,76.4856207370758,0.7590798940289004,77.72630294164021,0.22224301430890336,77.37486481666565,0.6224337314325824,77.24840342998505,0.6097946689503315
Earthquakes,45.467625856399536,1.0071945190429688,75.77937682469685,0.9495917780670173,75.10791381200154,0.42358628910842594,68.05755317211151,0.0,77.55395690600078,0.7146121002176145
ProximalPhalanxOutlineCorrect,70.8247423171997,0.7918709756522816,69.48453625043233,1.2307330194454742,76.49484515190125,0.2915904426117097,69.5761748154958,2.485866382442335,74.38144326210022,1.9909782224980297
SonyAIBORobotSurface2,69.72193092107773,1.4602030864624176,70.64008037249248,0.7985858237043434,74.27072008450826,1.09812967543468,74.8373516400655,3.267947963946463,72.49737620353699,1.8289776205295045
Strawberry,58.945946395397186,3.5092492128965525,60.522523522377014,5.376559668043773,76.43243432044983,1.2935371698992553,61.18919014930725,4.433750682657507,71.10810875892639,4.645583078410713
ElectricDevices,71.20412409305573,1.8660435941196614,67.06523060798645,0.0,69.8076343536377,0.8193795973336381,69.72204128901164,1.118662204292593,70.39164870977402,1.4866315543771993
ECGFiveDays,50.59814065694809,1.5389300934877463,50.90205053488413,0.7160436443156803,65.30390838781993,9.757061878310902,59.24893379211426,11.945152135670032,71.86411172151566,4.525128234136611
TwoPatterns,54.537499994039536,5.081656518491248,47.051669557889305,5.740616436898836,50.168336033821106,0.4212352706657339,66.91333711147308,23.314537893201233,71.55125051736832,20.968507054270173
MiddlePhalanxOutlineAgeGroup,60.3896090388298,0.9183201491151739,61.21211965878805,1.1680293199731333,60.692638556162514,0.3408662636353448,59.39393758773804,0.44147316333682673,59.93506342172623,0.76004579694716
Car,,,22.50000163912773,0.1666666567325592,22.333334982395172,0.0,24.333335012197495,2.0000000298023224,,
Lightning2,,,52.459012269973755,0.0,56.50272846221924,3.171283663512322,53.27868402004242,0.8196717500686646,,
Coffee,,,51.92535658677419,0.9130828807873154,54.28571740786234,2.10280028339881,51.428574323654175,1.7496361562780416,,
